gasDayStart,consumptionFull
2016-09-14,25.48
2016-09-13,25.4
2016-09-12,25.33
2016-09-11,25.26
2016-09-10,25.16
2016-09-09,25.06
2016-09-08,24.98
2016-09-07,24.9
2016-09-06,24.83
2016-09-05,24.79
2016-09-04,24.71
2016-09-03,24.56
2016-09-02,24.43
2016-09-01,24.35
2016-08-31,24.24
2016-08-30,24.16
2016-08-29,24.09
2016-08-28,24.02
2016-08-27,23.9
2016-08-26,23.79
2016-08-25,23.67
2016-08-24,23.57
2016-08-23,23.44
2016-08-22,23.24
2016-08-21,23.12
2016-08-20,23.01
2016-08-19,22.83
2016-08-18,22.66
2016-08-17,22.5
2016-08-16,22.34
2016-08-15,22.18
2016-08-14,22.01
2016-08-13,21.84
2016-08-12,21.67
2016-08-11,21.49
2016-08-10,21.32
2016-08-09,21.16
2016-08-08,21.01
2016-08-07,20.84
2016-08-06,20.66
2016-08-05,20.5
2016-08-04,20.33
2016-08-03,20.17
2016-08-02,20.01
2016-08-01,19.85
2016-07-31,19.69
2016-07-30,19.51
2016-07-29,19.33
2016-07-28,19.17
2016-07-27,19.06
2016-07-26,18.97
2016-07-25,18.87
2016-07-24,18.77
2016-07-23,18.58
2016-07-22,18.41
2016-07-21,18.23
2016-07-20,18.06
2016-07-19,17.9
2016-07-18,17.74
2016-07-17,17.6
2016-07-16,17.42
2016-07-15,17.25
2016-07-14,17.09
2016-07-13,16.93
2016-07-12,16.78
2016-07-11,16.64
2016-07-10,16.48
2016-07-09,16.31
2016-07-08,16.12
2016-07-07,15.94
2016-07-06,15.84
2016-07-05,15.76
2016-07-04,15.64
2016-07-03,15.53
2016-07-02,15.33
2016-07-01,15.14
2016-06-30,14.97
2016-06-29,14.81
2016-06-28,14.64
2016-06-27,14.48
2016-06-26,14.33
2016-06-25,14.17
2016-06-24,14.01
2016-06-23,13.88
2016-06-22,13.77
2016-06-21,13.68
2016-06-20,13.6
2016-06-19,13.51
2016-06-18,13.39
2016-06-17,13.26
2016-06-16,13.13
2016-06-15,13.01
2016-06-14,12.9
2016-06-13,12.83
2016-06-12,12.73
2016-06-11,12.58
2016-06-10,12.44
2016-06-09,12.32
2016-06-08,12.25
2016-06-07,12.15
2016-06-06,12.05
2016-06-05,11.94
2016-06-04,11.83
2016-06-03,11.74
2016-06-02,11.68
2016-06-01,11.66
2016-05-31,11.68
2016-05-30,11.7
2016-05-29,11.67
2016-05-28,11.55
2016-05-27,11.41
2016-05-26,11.31
2016-05-25,11.2
2016-05-24,11.11
2016-05-23,11.04
2016-05-22,10.91
2016-05-21,10.76
2016-05-20,10.62
2016-05-19,10.48
2016-05-18,10.35
2016-05-17,10.2
2016-05-16,10.08
2016-05-15,9.91
2016-05-14,9.76
2016-05-13,9.6
2016-05-12,9.45
2016-05-11,9.3
2016-05-10,9.14
2016-05-09,8.98
2016-05-08,8.81
2016-05-07,8.63
2016-05-06,8.44
2016-05-05,8.25
2016-05-04,8.06
2016-05-03,7.91
2016-05-02,7.81
2016-05-01,7.77
2016-04-30,7.7
2016-04-29,7.66
2016-04-28,7.67
2016-04-27,7.69
2016-04-26,7.72
2016-04-25,7.74
2016-04-24,7.72
2016-04-23,7.68
2016-04-22,7.59
2016-04-21,7.51
2016-04-20,7.44
2016-04-19,7.37
2016-04-18,7.33
2016-04-17,7.31
2016-04-16,7.25
2016-04-15,7.16
2016-04-14,7.08
2016-04-13,7.02
2016-04-12,6.95
2016-04-11,6.89
2016-04-10,6.84
2016-04-09,6.75
2016-04-08,6.7
2016-04-07,6.68
2016-04-06,6.64
2016-04-05,6.57
2016-04-04,6.52
2016-04-03,6.45
2016-04-02,6.37
2016-04-01,6.34
2016-03-31,6.31
2016-03-30,6.43
2016-03-29,6.49
2016-03-28,6.54
2016-03-27,6.55
2016-03-26,6.55
2016-03-25,6.57
2016-03-24,6.63
2016-03-23,6.72
2016-03-22,6.8
2016-03-21,6.87
2016-03-20,7.01
2016-03-19,7.07
2016-03-18,7.13
2016-03-17,7.23
2016-03-16,7.38
2016-03-15,7.51
2016-03-14,7.61
2016-03-13,7.73
2016-03-12,7.81
2016-03-11,7.89
2016-03-10,8.02
2016-03-09,8.19
2016-03-08,8.34
2016-03-07,8.52
2016-03-06,8.72
2016-03-05,8.82
2016-03-04,8.95
2016-03-03,9.12
2016-03-02,9.32
2016-03-01,9.44
2016-02-29,9.63
2016-02-28,9.85
2016-02-27,9.98
2016-02-26,10.1
2016-02-25,10.27
2016-02-24,10.44
2016-02-23,10.61
2016-02-22,10.75
2016-02-21,10.83
2016-02-20,10.89
2016-02-19,11.0
2016-02-18,11.2
2016-02-17,11.47
2016-02-16,11.73
2016-02-15,11.99
2016-02-14,12.21
2016-02-13,12.34
2016-02-12,12.46
2016-02-11,12.62
2016-02-10,12.82
2016-02-09,13.05
2016-02-08,13.24
2016-02-07,13.39
2016-02-06,13.48
2016-02-05,13.58
2016-02-04,13.73
2016-02-03,13.92
2016-02-02,14.1
2016-02-01,14.23
2016-01-31,14.32
2016-01-30,14.44
2016-01-29,14.58
2016-01-28,14.74
2016-01-27,14.9
2016-01-26,15.03
2016-01-25,15.19
2016-01-24,15.35
2016-01-23,15.48
2016-01-22,15.66
2016-01-21,15.93
2016-01-20,16.23
2016-01-19,16.52
2016-01-18,16.82
2016-01-17,17.13
2016-01-16,17.36
2016-01-15,17.58
2016-01-14,17.81
2016-01-13,18.01
2016-01-12,18.23
2016-01-11,18.43
2016-01-10,18.62
2016-01-09,18.75
2016-01-08,18.88
2016-01-07,19.09
2016-01-06,19.29
2016-01-05,19.48
2016-01-04,19.64
2016-01-03,19.81
2016-01-02,19.9
2016-01-01,19.98
2015-12-31,21.89
2015-12-30,21.99
2015-12-29,22.08
2015-12-28,22.18
2015-12-27,22.28
2015-12-26,22.33
2015-12-25,22.35
2015-12-24,22.39
2015-12-23,22.44
2015-12-22,22.52
2015-12-21,22.57
2015-12-20,22.64
2015-12-19,22.65
2015-12-18,22.65
2015-12-17,22.76
2015-12-16,22.84
2015-12-15,22.96
2015-12-14,23.13
2015-12-13,23.32
2015-12-12,23.47
2015-12-11,23.61
2015-12-10,23.81
2015-12-09,24.04
2015-12-08,24.22
2015-12-07,24.39
2015-12-06,24.55
2015-12-05,24.65
2015-12-04,24.79
2015-12-03,24.96
2015-12-02,25.16
2015-12-01,25.37
2015-11-30,25.57
2015-11-29,25.77
2015-11-28,25.9
2015-11-27,26.09
2015-11-26,26.33
2015-11-25,26.58
2015-11-24,26.82
2015-11-23,27.11
2015-11-22,27.37
2015-11-21,27.56
2015-11-20,27.66
2015-11-19,27.77
2015-11-18,27.84
2015-11-17,27.95
2015-11-16,28.06
2015-11-15,28.14
2015-11-14,28.19
2015-11-13,28.29
2015-11-12,28.36
2015-11-11,28.43
2015-11-10,28.46
2015-11-09,28.52
2015-11-08,28.57
2015-11-07,28.57
2015-11-06,28.55
2015-11-05,28.59
2015-11-04,28.68
2015-11-03,28.76
2015-11-02,28.85
2015-11-01,28.94
2015-10-31,28.96
2015-10-30,28.91
2015-10-29,28.88
2015-10-28,28.87
2015-10-27,28.88
2015-10-26,28.88
2015-10-25,28.85
2015-10-24,28.79
2015-10-23,28.73
2015-10-22,28.75
2015-10-21,28.79
2015-10-20,28.81
2015-10-19,28.87
2015-10-18,28.94
2015-10-17,28.93
2015-10-16,28.96
2015-10-15,29.04
2015-10-14,29.13
2015-10-13,29.16
2015-10-12,29.16
2015-10-11,29.11
2015-10-10,29.04
2015-10-09,28.97
2015-10-08,28.93
2015-10-07,28.93
2015-10-06,28.88
2015-10-05,28.81
2015-10-04,28.74
2015-10-03,28.64
2015-10-02,28.55
2015-10-01,28.5
2015-09-30,28.45
2015-09-29,28.37
2015-09-28,28.28
2015-09-27,28.2
2015-09-26,28.08
2015-09-25,27.96
2015-09-24,27.9
2015-09-23,27.87
2015-09-22,27.81
2015-09-21,27.72
2015-09-20,27.62
2015-09-19,27.48
2015-09-18,27.34
2015-09-17,27.22
2015-09-16,27.11
2015-09-15,27.02
2015-09-14,26.91
2015-09-13,26.79
2015-09-12,26.64
2015-09-11,26.49
2015-09-10,26.38
2015-09-09,26.29
2015-09-08,26.26
2015-09-07,26.2
2015-09-06,26.14
2015-09-05,25.99
2015-09-04,25.84
2015-09-03,25.71
2015-09-02,25.59
2015-09-01,25.46
2015-08-31,25.3
2015-08-30,25.14
2015-08-29,24.96
2015-08-28,24.78
2015-08-27,24.64
2015-08-26,24.5
2015-08-25,24.35
2015-08-24,24.2
2015-08-23,24.04
2015-08-22,23.88
2015-08-21,23.72
2015-08-20,23.54
2015-08-19,23.37
2015-08-18,23.22
2015-08-17,23.08
2015-08-16,22.92
2015-08-15,22.74
2015-08-14,22.55
2015-08-13,22.36
2015-08-12,22.19
2015-08-11,22.02
2015-08-10,21.85
2015-08-09,21.67
2015-08-08,21.48
2015-08-07,21.3
2015-08-06,21.14
2015-08-05,20.95
2015-08-04,20.8
2015-08-03,20.63
2015-08-02,20.44
2015-08-01,20.24
2015-07-31,20.05
2015-07-30,19.88
2015-07-29,19.71
2015-07-28,19.53
2015-07-27,19.36
2015-07-26,19.17
2015-07-25,18.98
2015-07-24,18.78
2015-07-23,18.6
2015-07-22,18.42
2015-07-21,18.25
2015-07-20,18.07
2015-07-19,17.89
2015-07-18,17.67
2015-07-17,17.46
2015-07-16,17.25
2015-07-15,17.09
2015-07-14,16.92
2015-07-13,16.72
2015-07-12,16.54
2015-07-11,16.33
2015-07-10,16.12
2015-07-09,15.93
2015-07-08,15.74
2015-07-07,15.56
2015-07-06,15.39
2015-07-05,15.21
2015-07-04,15.0
2015-07-03,14.8
2015-07-02,14.62
2015-07-01,14.44
2015-06-30,14.27
2015-06-29,14.12
2015-06-28,13.98
2015-06-27,13.81
2015-06-26,13.63
2015-06-25,13.49
2015-06-24,13.35
2015-06-23,13.23
2015-06-22,13.1
2015-06-21,12.98
2015-06-20,12.84
2015-06-19,12.71
2015-06-18,12.6
2015-06-17,12.48
2015-06-16,12.36
2015-06-15,12.23
2015-06-14,12.12
2015-06-13,11.99
2015-06-12,11.86
2015-06-11,11.72
2015-06-10,11.59
2015-06-09,11.48
2015-06-08,11.35
2015-06-07,11.23
2015-06-06,11.08
2015-06-05,10.92
2015-06-04,10.76
2015-06-03,10.61
2015-06-02,10.48
2015-06-01,10.36
2015-05-31,10.23
2015-05-30,10.09
2015-05-29,9.95
2015-05-28,9.86
2015-05-27,9.77
2015-05-26,9.68
2015-05-25,9.6
2015-05-24,9.49
2015-05-23,9.36
2015-05-22,9.23
2015-05-21,9.15
2015-05-20,9.1
2015-05-19,9.04
2015-05-18,8.96
2015-05-17,8.86
2015-05-16,8.7
2015-05-15,8.55
2015-05-14,8.42
2015-05-13,8.28
2015-05-12,8.16
2015-05-11,8.04
2015-05-10,7.93
2015-05-09,7.82
2015-05-08,7.74
2015-05-07,7.64
2015-05-06,7.54
2015-05-05,7.44
2015-05-04,7.33
2015-05-03,7.23
2015-05-02,7.12
2015-05-01,7.03
2015-04-30,6.94
2015-04-29,6.89
2015-04-28,6.84
2015-04-27,6.78
2015-04-26,6.72
2015-04-25,6.6
2015-04-24,6.49
2015-04-23,6.42
2015-04-22,6.39
2015-04-21,6.32
2015-04-20,6.27
2015-04-19,6.23
2015-04-18,6.16
2015-04-17,6.08
2015-04-16,6.0
2015-04-15,5.96
2015-04-14,5.91
2015-04-13,5.87
2015-04-12,5.84
2015-04-11,5.77
2015-04-10,5.71
2015-04-09,5.68
2015-04-08,5.64
2015-04-07,5.63
2015-04-06,5.66
2015-04-05,5.63
2015-04-04,5.59
2015-04-03,5.55
2015-04-02,5.56
2015-04-01,5.6
2015-03-31,5.62
2015-03-30,5.68
2015-03-29,5.75
2015-03-28,5.77
2015-03-27,5.8
2015-03-26,5.89
2015-03-25,6.0
2015-03-24,6.11
2015-03-23,6.21
2015-03-22,6.31
2015-03-21,6.37
2015-03-20,6.42
2015-03-19,6.48
2015-03-18,6.55
2015-03-17,6.62
2015-03-16,6.7
2015-03-15,6.83
2015-03-14,6.93
2015-03-13,7.02
2015-03-12,7.12
2015-03-11,7.21
2015-03-10,7.31
2015-03-09,7.38
2015-03-08,7.5
2015-03-07,7.58
2015-03-06,7.68
2015-03-05,7.83
2015-03-04,8.0
2015-03-03,8.14
2015-03-02,8.3
2015-03-01,8.43
2015-02-28,8.54
2015-02-27,8.7
2015-02-26,8.88
2015-02-25,9.05
2015-02-24,9.24
2015-02-23,9.46
2015-02-22,9.7
2015-02-21,9.9
2015-02-20,10.09
2015-02-19,10.3
2015-02-18,10.53
2015-02-17,10.76
2015-02-16,10.98
2015-02-15,11.21
2015-02-14,11.37
2015-02-13,11.54
2015-02-12,11.74
2015-02-11,11.98
2015-02-10,12.27
2015-02-09,12.57
2015-02-08,12.91
2015-02-07,13.17
2015-02-06,13.48
2015-02-05,13.85
2015-02-04,14.23
2015-02-03,14.58
2015-02-02,14.93
2015-02-01,15.27
2015-01-31,15.57
2015-01-30,15.82
2015-01-29,16.13
2015-01-28,16.42
2015-01-27,16.7
2015-01-26,17.0
2015-01-25,17.31
2015-01-24,17.61
2015-01-23,17.91
2015-01-22,18.24
2015-01-21,18.54
2015-01-20,18.85
2015-01-19,19.16
2015-01-18,19.48
2015-01-17,19.72
2015-01-16,19.92
2015-01-15,20.13
2015-01-14,20.34
2015-01-13,20.59
2015-01-12,20.82
2015-01-11,21.03
2015-01-10,21.17
2015-01-09,21.28
2015-01-08,21.44
2015-01-07,21.66
2015-01-06,21.93
2015-01-05,22.21
2015-01-04,22.47
2015-01-03,22.63
2015-01-02,22.79
2015-01-01,23.02
2014-12-31,25.05
2014-12-30,25.26
2014-12-29,25.5
2014-12-28,25.8
2014-12-27,26.02
2014-12-26,26.18
2014-12-25,26.32
2014-12-24,26.44
2014-12-23,26.55
2014-12-22,26.71
2014-12-21,26.89
2014-12-20,27.04
2014-12-19,27.18
2014-12-18,27.32
2014-12-17,27.47
2014-12-16,27.64
2014-12-15,27.82
2014-12-14,28.05
2014-12-13,28.22
2014-12-12,28.37
2014-12-11,28.56
2014-12-10,28.78
2014-12-09,29.05
2014-12-08,29.33
2014-12-07,29.56
2014-12-06,29.79
2014-12-05,30.02
2014-12-04,30.28
2014-12-03,30.54
2014-12-02,30.83
2014-12-01,31.06
2014-11-30,31.31
2014-11-29,31.43
2014-11-28,31.52
2014-11-27,31.63
2014-11-26,31.75
2014-11-25,31.89
2014-11-24,32.0
2014-11-23,32.09
2014-11-22,32.13
2014-11-21,32.18
2014-11-20,32.28
2014-11-19,32.39
2014-11-18,32.5
2014-11-17,32.62
2014-11-16,32.73
2014-11-15,32.79
2014-11-14,32.84
2014-11-13,32.9
2014-11-12,32.98
2014-11-11,33.08
2014-11-10,33.14
2014-11-09,33.23
2014-11-08,33.29
2014-11-07,33.33
2014-11-06,33.36
2014-11-05,33.42
2014-11-04,33.49
2014-11-03,33.51
2014-11-02,33.51
2014-11-01,33.45
2014-10-31,33.4
2014-10-30,33.39
2014-10-29,33.41
2014-10-28,33.44
2014-10-27,33.44
2014-10-26,33.4
2014-10-25,33.35
2014-10-24,33.3
2014-10-23,33.25
2014-10-22,33.25
2014-10-21,33.25
2014-10-20,33.18
2014-10-19,33.12
2014-10-18,33.05
2014-10-17,32.98
2014-10-16,32.93
2014-10-15,32.89
2014-10-14,32.84
2014-10-13,32.78
2014-10-12,32.71
2014-10-11,32.59
2014-10-10,32.5
2014-10-09,32.44
2014-10-08,32.43
2014-10-07,32.41
2014-10-06,32.39
2014-10-05,32.38
2014-10-04,32.31
2014-10-03,32.23
2014-10-02,32.19
2014-10-01,32.16
2014-09-30,32.13
2014-09-29,32.1
2014-09-28,32.07
2014-09-27,31.98
2014-09-26,31.9
2014-09-25,31.88
2014-09-24,31.88
2014-09-23,31.86
2014-09-22,31.89
2014-09-21,31.85
2014-09-20,31.81
2014-09-19,31.74
2014-09-18,31.69
2014-09-17,31.58
2014-09-16,31.46
2014-09-15,31.36
2014-09-14,31.27
2014-09-13,31.16
2014-09-12,31.04
2014-09-11,30.99
2014-09-10,30.94
2014-09-09,30.87
2014-09-08,30.8
2014-09-07,30.74
2014-09-06,30.62
2014-09-05,30.5
2014-09-04,30.39
2014-09-03,30.29
2014-09-02,30.23
2014-09-01,30.16
2014-08-31,30.11
2014-08-30,29.98
2014-08-29,29.87
2014-08-28,29.77
2014-08-27,29.68
2014-08-26,29.59
2014-08-25,29.49
2014-08-24,29.38
2014-08-23,29.25
2014-08-22,29.11
2014-08-21,28.97
2014-08-20,28.81
2014-08-19,28.69
2014-08-18,28.57
2014-08-17,28.46
2014-08-16,28.33
2014-08-15,28.21
2014-08-14,28.08
2014-08-13,27.95
2014-08-12,27.79
2014-08-11,27.62
2014-08-10,27.44
2014-08-09,27.25
2014-08-08,27.05
2014-08-07,26.86
2014-08-06,26.67
2014-08-05,26.47
2014-08-04,26.28
2014-08-03,26.1
2014-08-02,25.9
2014-08-01,25.71
2014-07-31,25.52
2014-07-30,25.33
2014-07-29,25.14
2014-07-28,24.95
2014-07-27,24.75
2014-07-26,24.56
2014-07-25,24.37
2014-07-24,24.18
2014-07-23,24.0
2014-07-22,23.82
2014-07-21,23.64
2014-07-20,23.45
2014-07-19,23.25
2014-07-18,23.05
2014-07-17,22.87
2014-07-16,22.73
2014-07-15,22.57
2014-07-14,22.41
2014-07-13,22.24
2014-07-12,22.06
2014-07-11,21.88
2014-07-10,21.72
2014-07-09,21.57
2014-07-08,21.44
2014-07-07,21.31
2014-07-06,21.17
2014-07-05,21.01
2014-07-04,20.86
2014-07-03,20.72
2014-07-02,20.62
2014-07-01,20.52
2014-06-30,20.43
2014-06-29,20.34
2014-06-28,20.19
2014-06-27,20.03
2014-06-26,19.87
2014-06-25,19.73
2014-06-24,19.58
2014-06-23,19.43
2014-06-22,19.28
2014-06-21,19.11
2014-06-20,18.94
2014-06-19,18.79
2014-06-18,18.63
2014-06-17,18.48
2014-06-16,18.32
2014-06-15,18.19
2014-06-14,18.04
2014-06-13,17.89
2014-06-12,17.74
2014-06-11,17.59
2014-06-10,17.43
2014-06-09,17.3
2014-06-08,17.13
2014-06-07,16.96
2014-06-06,16.79
2014-06-05,16.63
2014-06-04,16.51
2014-06-03,16.4
2014-06-02,16.27
2014-06-01,16.14
2014-05-31,15.99
2014-05-30,15.83
2014-05-29,15.66
2014-05-28,15.48
2014-05-27,15.36
2014-05-26,15.23
2014-05-25,15.13
2014-05-24,14.97
2014-05-23,14.81
2014-05-22,14.68
2014-05-21,14.54
2014-05-20,14.42
2014-05-19,14.29
2014-05-18,14.17
2014-05-17,14.0
2014-05-16,13.84
2014-05-15,13.7
2014-05-14,13.59
2014-05-13,13.49
2014-05-12,13.39
2014-05-11,13.28
2014-05-10,13.16
2014-05-09,13.02
2014-05-08,12.87
2014-05-07,12.72
2014-05-06,12.59
2014-05-05,12.48
2014-05-04,12.37
2014-05-03,12.24
2014-05-02,12.11
2014-05-01,12.01
2014-04-30,11.9
2014-04-29,11.76
2014-04-28,11.71
2014-04-27,11.68
2014-04-26,11.6
2014-04-25,11.52
2014-04-24,11.42
2014-04-23,11.34
2014-04-22,11.23
2014-04-21,11.13
2014-04-20,11.01
2014-04-19,10.89
2014-04-18,10.78
2014-04-17,10.68
2014-04-16,10.61
2014-04-15,10.57
2014-04-14,10.55
2014-04-13,10.5
2014-04-12,10.41
2014-04-11,10.32
2014-04-10,10.26
2014-04-09,10.2
2014-04-08,10.16
2014-04-07,10.1
2014-04-06,9.98
2014-04-05,9.86
2014-04-04,9.74
2014-04-03,9.68
2014-04-02,9.6
2014-04-01,9.51
2014-03-31,9.46
2014-03-30,9.41
2014-03-29,9.34
2014-03-28,9.32
2014-03-27,9.4
2014-03-26,9.52
2014-03-25,9.59
2014-03-24,9.67
2014-03-23,9.76
2014-03-22,9.81
2014-03-21,9.83
2014-03-20,9.83
2014-03-19,9.83
2014-03-18,9.85
2014-03-17,9.86
2014-03-16,9.88
2014-03-15,9.88
2014-03-14,9.89
2014-03-13,9.94
2014-03-12,9.99
2014-03-11,10.06
2014-03-10,10.12
2014-03-09,10.18
2014-03-08,10.23
2014-03-07,10.29
2014-03-06,10.39
2014-03-05,10.5
2014-03-04,10.63
2014-03-03,10.79
2014-03-02,10.95
2014-03-01,11.05
2014-02-28,11.19
2014-02-27,11.41
2014-02-26,11.59
2014-02-25,11.75
2014-02-24,11.9
2014-02-23,12.05
2014-02-22,12.19
2014-02-21,12.35
2014-02-20,12.53
2014-02-19,12.7
2014-02-18,12.88
2014-02-17,13.08
2014-02-16,13.3
2014-02-15,13.48
2014-02-14,13.66
2014-02-13,13.86
2014-02-12,14.13
2014-02-11,14.39
2014-02-10,14.62
2014-02-09,14.86
2014-02-08,15.05
2014-02-07,15.23
2014-02-06,15.42
2014-02-05,15.61
2014-02-04,15.81
2014-02-03,16.0
2014-02-02,16.21
2014-02-01,16.44
2014-01-31,16.64
2014-01-30,16.83
2014-01-29,17.04
2014-01-28,17.26
2014-01-27,17.48
2014-01-26,17.68
2014-01-25,17.79
2014-01-24,17.92
2014-01-23,18.09
2014-01-22,18.29
2014-01-21,18.48
2014-01-20,18.67
2014-01-19,18.84
2014-01-18,18.97
2014-01-17,19.09
2014-01-16,19.21
2014-01-15,19.33
2014-01-14,19.47
2014-01-13,19.63
2014-01-12,19.73
2014-01-11,19.82
2014-01-10,19.89
2014-01-09,19.99
2014-01-08,20.05
2014-01-07,20.11
2014-01-06,20.19
2014-01-05,20.27
2014-01-04,20.38
2014-01-03,20.46
2014-01-02,20.51
2014-01-01,20.56
